No.;Time;Source;Destination;Protocol;Length;Info;;TIME 1;TIME 2;DELAY ;;DELAY 1;DELAY 2;JITTER
1;0;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0;0;0;;-0,000214;0,000214;0,000428
2;0;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0;0,000214;0,000214;;0,000123;0,000091;-0,000032
3;0,000214;192.168.27.81;202.67.42.206;UDP;90;63764  >  443 Len=48;;0,000214;0,000305;0,000091;;-0,026724;0,026815;0,053539
4;0,000305;192.168.27.81;202.67.42.206;UDP;92;63764  >  443 Len=50;;0,000305;0,02712;0,026815;;0,026815;0;-0,026815
5;0,02712;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,02712;0,02712;0;;-0,000177;0,000177;0,000354
6;0,02712;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,02712;0,027297;0,000177;;1E-05;0,000167;0,000157
7;0,027297;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,027297;0,027464;0,000167;;2E-06;0,000165;0,000163
8;0,027464;192.168.27.81;202.67.42.206;UDP;92;63764  >  443 Len=50;;0,027464;0,027629;0,000165;;1,1E-05;0,000154;0,000143
9;0,027629;192.168.27.81;202.67.42.206;UDP;92;63764  >  443 Len=50;;0,027629;0,027783;0,000154;;-0,004046;0,0042;0,008246
10;0,027783;192.168.27.81;202.67.42.206;UDP;97;63764  >  443 Len=55;;0,027783;0,031983;0,0042;;-0,001584;0,005784;0,007368
11;0,031983;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,031983;0,037767;0,005784;;0,005428;0,000356;-0,005072
12;0,037767;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,037767;0,038123;0,000356;;-0,003679;0,004035;0,007714
13;0,038123;192.168.27.81;202.67.42.206;UDP;92;63764  >  443 Len=50;;0,038123;0,042158;0,004035;;-0,00856;0,012595;0,021155
14;0,042158;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,042158;0,054753;0,012595;;0,004493;0,008102;0,003609
15;0,054753;192.168.27.81;202.67.42.206;UDP;93;63764  >  443 Len=51;;0,054753;0,062855;0,008102;;0,001206;0,006896;0,00569
16;0,062855;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,062855;0,069751;0,006896;;0,006519;0,000377;-0,006142
17;0,069751;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,069751;0,070128;0,000377;;-0,00323;0,003607;0,006837
18;0,070128;192.168.27.81;202.67.42.206;UDP;75;63764  >  443 Len=33;;0,070128;0,073735;0,003607;;0,003213;0,000394;-0,002819
19;0,073735;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,073735;0,074129;0,000394;;-0,002405;0,002799;0,005204
20;0,074129;192.168.27.81;202.67.42.206;UDP;76;63764  >  443 Len=34;;0,074129;0,076928;0,002799;;0,002438;0,000361;-0,002077
21;0,076928;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,076928;0,077289;0,000361;;-0,013306;0,013667;0,026973
22;0,077289;192.168.27.81;202.67.42.206;UDP;75;63764  >  443 Len=33;;0,077289;0,090956;0,013667;;0,013667;0;-0,013667
23;0,090956;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,090956;0,090956;0;;-0,007061;0,007061;0,014122
24;0,090956;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,090956;0,098017;0,007061;;0,006701;0,00036;-0,006341
25;0,098017;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,098017;0,098377;0,00036;;-0,014737;0,015097;0,029834
26;0,098377;192.168.27.81;202.67.42.206;UDP;75;63764  >  443 Len=33;;0,098377;0,113474;0,015097;;0,015097;0;-0,015097
27;0,113474;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,113474;0,113474;0;;-0,000383;0,000383;0,000766
28;0,113474;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,113474;0,113857;0,000383;;0,000188;0,000195;7E-06
29;0,113857;192.168.27.81;202.67.42.206;UDP;76;63764  >  443 Len=34;;0,113857;0,114052;0,000195;;-0,002802;0,002997;0,005799
30;0,114052;192.168.27.81;202.67.42.206;UDP;76;63764  >  443 Len=34;;0,114052;0,117049;0,002997;;0,002738;0,000259;-0,002479
31;0,117049;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,117049;0,117308;0,000259;;-0,009279;0,009538;0,018817
32;0,117308;192.168.27.81;202.67.42.206;UDP;76;63764  >  443 Len=34;;0,117308;0,126846;0,009538;;0,009128;0,00041;-0,008718
33;0,126846;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,126846;0,127256;0,00041;;-0,007127;0,007537;0,014664
34;0,127256;192.168.27.81;202.67.42.206;UDP;78;63764  >  443 Len=36;;0,127256;0,134793;0,007537;;0,007135;0,000402;-0,006733
35;0,134793;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,134793;0,135195;0,000402;;-0,009708;0,01011;0,019818
36;0,135195;192.168.27.81;202.67.42.206;UDP;80;63764  >  443 Len=38;;0,135195;0,145305;0,01011;;0,01011;0;-0,01011
37;0,145305;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,145305;0,145305;0;;-0,000379;0,000379;0,000758
38;0,145305;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,145305;0,145684;0,000379;;0,000186;0,000193;7E-06
39;0,145684;192.168.27.81;202.67.42.206;UDP;80;63764  >  443 Len=38;;0,145684;0,145877;0,000193;;-0,007399;0,007592;0,014991
40;0,145877;192.168.27.81;202.67.42.206;UDP;80;63764  >  443 Len=38;;0,145877;0,153469;0,007592;;0,007104;0,000488;-0,006616
41;0,153469;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,153469;0,153957;0,000488;;-0,009472;0,00996;0,019432
